timestamp,open,high,low,close,volume,rsi,ema20,ema50,macd,macd_signal,bb_high,bb_low
2026-02-27 15:15:00,66000.9,66220.2,65870.0,66088.2,2907.355,40.18546927548432,66256.05727316186,66705.59634115649,-294.7062868162611,-335.91018255079103,66685.49028451867,65574.57971548133
2026-02-27 15:30:00,66088.2,66102.6,65834.7,66045.2,1530.28,39.128353988693505,66235.97562809882,66679.69844542486,-276.18904436360754,-323.9659549133544,66563.10584924632,65623.68415075366
2026-02-27 15:45:00,66045.3,66289.8,66027.6,66072.6,2408.881,40.20771139583188,66220.41604447036,66655.89066325134,-256.3480248424312,-310.44236889916976,66482.73563717598,65653.804362824
2026-02-27 16:00:00,66072.5,66095.2,65695.3,65869.1,4604.278,35.21359026903744,66186.95737356842,66625.03612743756,-254.11533974928898,-299.1769630691936,66344.98452245424,65711.27547754577
2026-02-27 16:15:00,65869.1,66042.5,65809.9,65968.1,1442.088,39.17189708318359,66166.11381418095,66599.27392636158,-241.5727478415647,-287.6561200236679,66236.98791868631,65766.8420813137
2026-02-27 16:30:00,65968.2,66027.4,65670.1,65700.2,1602.231,33.25140570623313,66121.74106997324,66564.01612532779,-250.3639052034123,-280.1976770596168,66257.89866831241,65719.39133168757
2026-02-27 16:45:00,65700.3,65783.0,65433.2,65449.3,5887.417,28.85307497018927,66057.69906330912,66520.3017674718,-274.41322900311206,-279.0407874483159,66308.95899855864,65603.85100144136
2026-02-27 17:00:00,65449.3,65646.1,65370.8,65435.8,2687.283,28.633606710629593,65998.4705810892,66477.77228639448,-291.2049986011407,-281.47362967888085,66349.36223026013,65510.93776973986
2026-02-27 17:15:00,65435.9,65520.6,65163.2,65182.5,3677.374,24.818998243917335,65920.75909717595,66426.97729477116,-321.2486357665184,-289.4286308964084,66426.36153789243,65363.94846210756
2026-02-27 17:30:00,65182.6,65515.6,65080.0,65380.8,3857.445,32.41046318817621,65869.33442125443,66385.9507341919,-325.3073414001701,-296.60437299716074,66447.44083398269,65294.0591660173
2026-02-27 17:45:00,65380.8,65724.3,65350.0,65673.0,2622.429,41.74500180256488,65850.63590494449,66357.99188187065,-301.470631097196,-297.5776246171678,66442.08935339068,65276.47064660933
2026-02-27 18:00:00,65672.9,65772.4,65483.0,65517.9,2057.76,38.690541638435604,65818.94677114025,66325.04710218945,-291.73223264219996,-296.40854622217427,66430.92472796893,65238.04527203107
2026-02-27 18:15:00,65517.8,65594.5,65360.0,65550.7,1416.357,39.69545075513365,65793.39945960308,66294.68054916241,-278.161325218578,-292.759102021455,66417.00952071547,65208.28047928451
2026-02-27 18:30:00,65550.8,65655.0,65488.0,65541.0,921.255,39.489311150486934,65769.36141583136,66265.12444919525,-265.132707434037,-287.2338231039714,66398.58108359139,65180.708916408585
2026-02-27 18:45:00,65541.0,65554.4,65180.0,65284.8,2001.937,34.40701699853933,65723.2127095617,66226.68035314839,-272.3412523899169,-284.2553089611605,66351.87586312798,65131.89413687201
2026-02-27 19:00:00,65284.8,65410.7,65135.3,65259.4,1477.97,33.94063743831393,65679.04007055583,66188.74779027983,-276.9115796073238,-282.7865630903932,66281.07806577784,65099.97193422215
2026-02-27 19:15:00,65259.5,65400.1,65176.7,65310.1,1548.476,35.81094234235843,65643.90292097908,66154.29101419043,-273.2921883433737,-280.8876881409893,66235.16573459259,65068.29426540741
2026-02-27 19:30:00,65310.1,65396.1,65214.6,65265.8,918.074,34.88164344324626,65607.89311898107,66119.44822932022,-270.87594517825346,-278.8853395484422,66221.67436658086,65023.415633419136
2026-02-27 19:45:00,65265.9,65433.7,65222.3,65365.4,1009.42,38.731272047013974,65584.79853622097,66089.87771052335,-257.95067266792466,-274.6984061723387,66197.14359838645,64998.93640161357
2026-02-27 20:00:00,65365.4,65578.0,65365.4,65537.7,1401.99,44.80966854387804,65580.31296134279,66068.22368265969,-231.13969651120715,-265.9866642401124,66145.01027142888,65004.74972857112
2026-02-27 20:15:00,65537.6,65638.0,65520.0,65550.8,890.65,45.25437179800374,65577.50220311966,66047.9325578495,-206.4548611005448,-254.0803036121989,66067.21807351154,65028.80192648847
2026-02-27 20:30:00,65550.8,65630.0,65412.4,65603.1,734.367,47.08745032847835,65579.94008853682,66030.4881438162,-180.59004861526046,-239.38225261281121,65993.65482832659,65058.15517167342
2026-02-27 20:45:00,65603.1,65637.9,65521.4,65564.2,1110.953,45.857535785767766,65578.4410324857,66012.20233425478,-161.37072204001015,-223.779946498251,65896.36808008747,65104.60191991253
2026-02-27 21:00:00,65564.3,65685.3,65445.2,65548.4,1063.673,45.33952488909747,65575.57998177278,65994.01400742125,-145.73426136662601,-208.17080947192602,65843.58603829125,65125.31396170874
2026-02-27 21:15:00,65548.3,65721.6,65548.3,65662.6,801.78,49.757218168379396,65583.86760255633,65981.01737967925,-122.7127122764723,-191.0791900328353,65765.163870567,65173.186129433
2026-02-27 21:30:00,65662.6,65685.0,65541.6,65594.8,716.447,47.31240618172633,65584.90878326526,65965.87160008399,-108.68599760724464,-174.60055154771717,65746.71259873018,65181.097401269835
2026-02-27 21:45:00,65594.8,65594.9,65366.5,65502.3,740.186,44.1268243169929,65577.04128009714,65947.69232164933,-103.83673685377289,-160.44778860892833,65749.7584990948,65183.35150090523
2026-02-27 22:00:00,65502.2,65557.7,65410.8,65513.3,564.902,44.60448988457509,65570.97068199265,65930.65732864347,-97.9766409716758,-147.95355908147783,65753.96483807027,65186.895161929744
2026-02-27 22:15:00,65513.3,65589.6,65414.1,65442.4,359.666,42.10586311904436,65558.7258551362,65911.50998242215,-97.92469529799564,-137.9477863247814,65735.00584883301,65231.844151167
2026-02-27 22:30:00,65442.4,65573.9,64875.6,65565.1,5184.195,47.578712603632006,65559.33291655181,65897.92527722912,-86.98001198900602,-127.75423145762633,65742.00126723999,65243.27873276
2026-02-27 22:45:00,65565.0,65647.2,65479.2,65609.0,1050.799,49.42098534402686,65564.06311497545,65886.59487420053,-73.91189814875543,-116.98576479585216,65730.98102260183,65247.898977398174
2026-02-27 23:00:00,65609.0,65838.3,65517.6,65702.9,1708.765,53.20886020880912,65577.28567545397,65879.39115364365,-55.34044829501363,-104.65670149568446,65757.43863400517,65239.94136599484
2026-02-27 23:15:00,65703.0,65871.9,65695.9,65855.0,1090.293,58.61532207040216,65603.73465874407,65878.43463781448,-28.026173357793596,-89.33059586810629,65815.3601805817,65212.44981941831
2026-02-27 23:30:00,65855.0,65921.7,65788.8,65793.3,892.957,55.79878855922346,65621.78850076845,65875.09602456687,-11.228651132259984,-73.71020692093703,65851.64175934494,65201.39824065507
2026-02-27 23:45:00,65793.2,65885.2,65793.2,65836.0,673.521,57.327003025748915,65642.18959593336,65873.56284713287,5.466030396375572,-57.87495945747451,65885.94715173327,65222.21284826673
2026-02-28 00:00:00,65836.0,65990.0,65793.9,65969.4,1380.43,61.77358536056342,65673.35249155876,65877.32116685316,29.12521358381491,-40.474924849216634,65939.18790380016,65239.9720961998
2026-02-28 00:15:00,65969.4,65985.8,65681.9,65745.7,1210.761,51.99019319432941,65680.24273045792,65872.15955246676,29.484685157061904,-26.48300284796093,65942.39034543614,65280.32965456389
2026-02-28 00:30:00,65745.7,65934.8,65708.4,65920.0,623.36,57.62194790224657,65703.07675612859,65874.03564844847,43.3345881257701,-12.519484653214727,65961.04113496275,65327.09886503726
2026-02-28 00:45:00,65920.1,65956.1,65863.7,65906.3,516.77,57.055423567257435,65722.43135078301,65875.30091713676,52.598932752225664,0.5041988278733509,65980.57661813636,65361.65338186362
