timestamp,open,high,low,close,volume
2026-02-27 03:00:00,1.4060,1.4064,1.3993,1.4007,5673314.6
2026-02-27 03:15:00,1.4007,1.4027,1.3994,1.4004,1815235.1
2026-02-27 03:30:00,1.4005,1.4036,1.3998,1.4034,2861595.8
2026-02-27 03:45:00,1.4034,1.4089,1.4021,1.4071,3840035.4
2026-02-27 04:00:00,1.4071,1.4164,1.4062,1.4143,12028237.4
2026-02-27 04:15:00,1.4142,1.4209,1.4136,1.4165,12468905.9
2026-02-27 04:30:00,1.4165,1.4168,1.4089,1.4095,5051788.3
2026-02-27 04:45:00,1.4095,1.4101,1.4045,1.4071,5854551.9
2026-02-27 05:00:00,1.4070,1.4123,1.4067,1.4104,5110341.5
2026-02-27 05:15:00,1.4103,1.4129,1.4060,1.4088,4510889.3
2026-02-27 05:30:00,1.4089,1.4140,1.4087,1.4122,2447660.6
2026-02-27 05:45:00,1.4121,1.4124,1.4078,1.4094,2545047.3
2026-02-27 06:00:00,1.4094,1.4103,1.4048,1.4075,5735213.1
2026-02-27 06:15:00,1.4074,1.4094,1.4032,1.4065,5163625.9
2026-02-27 06:30:00,1.4065,1.4105,1.4050,1.4102,4261923.0
2026-02-27 06:45:00,1.4102,1.4139,1.4101,1.4117,3662555.0
2026-02-27 07:00:00,1.4118,1.4122,1.4091,1.4103,2461621.9
2026-02-27 07:15:00,1.4104,1.4121,1.4074,1.4080,2280428.5
2026-02-27 07:30:00,1.4080,1.4103,1.4051,1.4083,4338998.5
2026-02-27 07:45:00,1.4082,1.4165,1.4080,1.4161,7730982.6
2026-02-27 08:00:00,1.4161,1.4230,1.4159,1.4189,9710473.8
2026-02-27 08:15:00,1.4188,1.4202,1.4158,1.4188,5331781.9
2026-02-27 08:30:00,1.4188,1.4226,1.4139,1.4189,4889244.0
2026-02-27 08:45:00,1.4190,1.4229,1.4190,1.4209,4998636.8
2026-02-27 09:00:00,1.4209,1.4248,1.4203,1.4225,4219133.0
2026-02-27 09:15:00,1.4224,1.4254,1.4178,1.4214,4621133.4
2026-02-27 09:30:00,1.4214,1.4220,1.4126,1.4131,5550454.8
2026-02-27 09:45:00,1.4131,1.4131,1.4041,1.4058,9834473.0
2026-02-27 10:00:00,1.4057,1.4067,1.3913,1.3930,19548621.4
2026-02-27 10:15:00,1.3930,1.3996,1.3899,1.3939,16795120.1
2026-02-27 10:30:00,1.3939,1.3985,1.3933,1.3964,5509009.6
2026-02-27 10:45:00,1.3964,1.3976,1.3858,1.3881,11313222.7
2026-02-27 11:00:00,1.3880,1.3960,1.3879,1.3945,7572313.0
2026-02-27 11:15:00,1.3944,1.3945,1.3873,1.3906,7556056.3
2026-02-27 11:30:00,1.3905,1.3915,1.3794,1.3798,19533521.5
2026-02-27 11:45:00,1.3798,1.3852,1.3796,1.3817,10584343.4
2026-02-27 12:00:00,1.3816,1.3843,1.3781,1.3819,10921326.3
2026-02-27 12:15:00,1.3820,1.3846,1.3778,1.3815,7863672.4
2026-02-27 12:30:00,1.3815,1.3829,1.3751,1.3763,6735402.6
2026-02-27 12:45:00,1.3762,1.3779,1.3713,1.3768,12386460.2
2026-02-27 13:00:00,1.3767,1.3814,1.3750,1.3764,7417531.8
2026-02-27 13:15:00,1.3764,1.3780,1.3706,1.3731,7328688.8
2026-02-27 13:30:00,1.3731,1.3737,1.3621,1.3714,28814672.7
2026-02-27 13:45:00,1.3714,1.3745,1.3675,1.3699,12394381.2
2026-02-27 14:00:00,1.3699,1.3722,1.3686,1.3713,5363550.9
2026-02-27 14:15:00,1.3713,1.3714,1.3641,1.3669,5670037.5
2026-02-27 14:30:00,1.3669,1.3734,1.3634,1.3651,15913627.7
2026-02-27 14:45:00,1.3652,1.3664,1.3561,1.3581,27844852.9
2026-02-27 15:00:00,1.3580,1.3655,1.3565,1.3600,24607402.2
2026-02-27 15:15:00,1.3599,1.3638,1.3575,1.3606,17543022.8
2026-02-27 15:30:00,1.3606,1.3609,1.3512,1.3564,24157037.0
2026-02-27 15:45:00,1.3564,1.3595,1.3528,1.3559,20026152.4
2026-02-27 16:00:00,1.3558,1.3574,1.3467,1.3522,18637996.7
2026-02-27 16:15:00,1.3522,1.3565,1.3502,1.3550,6423672.1
2026-02-27 16:30:00,1.3550,1.3576,1.3504,1.3515,6264666.9
2026-02-27 16:45:00,1.3515,1.3529,1.3486,1.3501,7369970.7
2026-02-27 17:00:00,1.3500,1.3540,1.3456,1.3476,7240629.7
2026-02-27 17:15:00,1.3476,1.3486,1.3383,1.3406,14125605.8
2026-02-27 17:30:00,1.3405,1.3479,1.3370,1.3453,15504472.7
2026-02-27 17:45:00,1.3453,1.3583,1.3452,1.3566,13175820.5
2026-02-27 18:00:00,1.3567,1.3575,1.3518,1.3526,7114756.3
2026-02-27 18:15:00,1.3526,1.3616,1.3521,1.3605,5095964.0
2026-02-27 18:30:00,1.3606,1.3631,1.3575,1.3618,6300545.9
2026-02-27 18:45:00,1.3619,1.3625,1.3553,1.3562,5761404.7
2026-02-27 19:00:00,1.3562,1.3563,1.3464,1.3492,7399761.6
2026-02-27 19:15:00,1.3493,1.3538,1.3481,1.3498,4631362.6
2026-02-27 19:30:00,1.3498,1.3516,1.3453,1.3461,5041656.4
2026-02-27 19:45:00,1.3461,1.3512,1.3461,1.3500,3953542.8
2026-02-27 20:00:00,1.3499,1.3554,1.3493,1.3532,6797894.6
2026-02-27 20:15:00,1.3532,1.3545,1.3520,1.3535,3043584.3
2026-02-27 20:30:00,1.3534,1.3541,1.3505,1.3526,3627429.1
2026-02-27 20:45:00,1.3527,1.3547,1.3500,1.3516,6432598.9
2026-02-27 21:00:00,1.3516,1.3555,1.3498,1.3528,3731268.2
2026-02-27 21:15:00,1.3528,1.3542,1.3519,1.3531,2439992.8
2026-02-27 21:30:00,1.3531,1.3538,1.3486,1.3511,4077603.5
2026-02-27 21:45:00,1.3511,1.3521,1.3465,1.3503,3284765.7
2026-02-27 22:00:00,1.3504,1.3511,1.3466,1.3494,2862587.7
2026-02-27 22:15:00,1.3494,1.3515,1.3453,1.3463,3537597.6
2026-02-27 22:30:00,1.3462,1.3535,1.3376,1.3527,12548263.5
2026-02-27 22:45:00,1.3526,1.3549,1.3516,1.3531,3408933.2
2026-02-27 23:00:00,1.3531,1.3555,1.3506,1.3508,5356905.7
2026-02-27 23:15:00,1.3508,1.3550,1.3503,1.3547,4114709.1
2026-02-27 23:30:00,1.3548,1.3560,1.3529,1.3533,4214978.6
2026-02-27 23:45:00,1.3534,1.3557,1.3528,1.3552,2292299.2
2026-02-28 00:00:00,1.3552,1.3599,1.3542,1.3596,5869539.5
2026-02-28 00:15:00,1.3597,1.3599,1.3552,1.3555,3888279.9
2026-02-28 00:30:00,1.3554,1.3616,1.3549,1.3613,2829846.9
2026-02-28 00:45:00,1.3614,1.3623,1.3589,1.3614,3004864.1
2026-02-28 01:00:00,1.3615,1.3642,1.3597,1.3606,3790097.1
2026-02-28 01:15:00,1.3606,1.3621,1.3577,1.3583,2987837.5
2026-02-28 01:30:00,1.3583,1.3592,1.3555,1.3569,2480792.0
2026-02-28 01:45:00,1.3569,1.3597,1.3560,1.3574,1418657.9
2026-02-28 02:00:00,1.3574,1.3592,1.3557,1.3572,1705187.1
2026-02-28 02:15:00,1.3572,1.3610,1.3572,1.3601,1909638.6
2026-02-28 02:30:00,1.3601,1.3620,1.3594,1.3612,2029002.9
2026-02-28 02:45:00,1.3613,1.3621,1.3603,1.3605,1553693.9
2026-02-28 03:00:00,1.3605,1.3605,1.3571,1.3576,2697862.0
2026-02-28 03:15:00,1.3577,1.3607,1.3577,1.3587,2314966.4
2026-02-28 03:30:00,1.3587,1.3589,1.3531,1.3539,4798862.3
2026-02-28 03:45:00,1.3538,1.3561,1.3517,1.3540,2622535.7
2026-02-28 04:00:00,1.3540,1.3560,1.3529,1.3549,2526462.3
2026-02-28 04:15:00,1.3550,1.3574,1.3531,1.3535,2790378.5
2026-02-28 04:30:00,1.3535,1.3547,1.3485,1.3535,5369927.4
2026-02-28 04:45:00,1.3535,1.3555,1.3525,1.3530,1573515.3
2026-02-28 05:00:00,1.3529,1.3550,1.3523,1.3545,1330764.7
2026-02-28 05:15:00,1.3545,1.3545,1.3504,1.3505,1907424.8
2026-02-28 05:30:00,1.3506,1.3507,1.3464,1.3472,4794536.4
2026-02-28 05:45:00,1.3471,1.3491,1.3458,1.3485,2716763.1
2026-02-28 06:00:00,1.3485,1.3505,1.3472,1.3482,3134474.7
2026-02-28 06:15:00,1.3483,1.3486,1.3221,1.3313,43835420.8
2026-02-28 06:30:00,1.3313,1.3314,1.3056,1.3213,49354490.3
2026-02-28 06:45:00,1.3213,1.3217,1.2921,1.2955,43115397.1
2026-02-28 07:00:00,1.2956,1.3157,1.2891,1.3122,47773073.8
2026-02-28 07:15:00,1.3123,1.3174,1.2969,1.3000,22096787.4
2026-02-28 07:30:00,1.3000,1.3221,1.2988,1.3134,27182698.4
2026-02-28 07:45:00,1.3134,1.3138,1.3009,1.3018,21865218.7
2026-02-28 08:00:00,1.3017,1.3017,1.2938,1.2938,18052544.8
2026-02-28 08:15:00,1.2938,1.2997,1.2866,1.2902,18747290.5
2026-02-28 08:30:00,1.2903,1.2961,1.2843,1.2897,18356155.9
2026-02-28 08:45:00,1.2898,1.2920,1.2823,1.2856,14458572.0
