timestamp,open,high,low,close,volume
2026-02-27 03:00:00,67226.40,67251.80,67061.90,67139.70,961.481
2026-02-27 03:15:00,67139.60,67199.60,67050.00,67072.10,613.388
2026-02-27 03:30:00,67072.20,67361.90,67071.50,67356.10,957.116
2026-02-27 03:45:00,67356.10,67670.00,67288.80,67557.40,2434.827
2026-02-27 04:00:00,67557.40,67928.00,67533.80,67896.30,4103.899
2026-02-27 04:15:00,67896.30,68188.80,67847.90,67911.60,3164.108
2026-02-27 04:30:00,67911.60,67931.00,67655.10,67723.70,2318.439
2026-02-27 04:45:00,67723.70,67915.70,67648.20,67709.20,2024.002
2026-02-27 05:00:00,67709.10,67887.90,67680.30,67819.10,1551.031
2026-02-27 05:15:00,67819.10,67849.90,67645.10,67761.00,700.299
2026-02-27 05:30:00,67761.00,67842.40,67728.30,67802.00,450.423
2026-02-27 05:45:00,67802.00,67820.00,67634.00,67685.80,809.536
2026-02-27 06:00:00,67685.80,67743.30,67606.40,67620.20,628.001
2026-02-27 06:15:00,67620.20,67664.60,67470.00,67563.30,1160.626
2026-02-27 06:30:00,67563.30,67735.00,67557.40,67702.10,905.539
2026-02-27 06:45:00,67702.00,67787.30,67606.60,67617.10,727.304
2026-02-27 07:00:00,67617.10,67682.00,67525.00,67612.80,529.270
2026-02-27 07:15:00,67612.80,67624.60,67432.10,67468.10,977.063
2026-02-27 07:30:00,67468.20,67590.20,67417.40,67505.60,1354.865
2026-02-27 07:45:00,67505.60,67733.70,67478.40,67644.10,1386.756
2026-02-27 08:00:00,67644.10,68017.30,67618.50,67848.90,2361.162
2026-02-27 08:15:00,67848.90,67949.50,67819.90,67924.90,699.963
2026-02-27 08:30:00,67925.00,67996.20,67680.00,67880.10,1137.488
2026-02-27 08:45:00,67880.10,68050.00,67855.90,67897.40,1339.684
2026-02-27 09:00:00,67897.50,68020.00,67802.80,67939.90,2160.950
2026-02-27 09:15:00,67940.00,68127.80,67841.10,67987.70,1460.828
2026-02-27 09:30:00,67987.60,68004.60,67564.80,67569.40,1491.311
2026-02-27 09:45:00,67569.40,67570.30,67245.00,67318.40,3058.230
2026-02-27 10:00:00,67318.30,67381.00,66800.00,66850.00,5581.589
2026-02-27 10:15:00,66850.00,67032.80,66616.20,66752.00,5470.329
2026-02-27 10:30:00,66751.90,66926.30,66670.80,66778.00,3066.895
2026-02-27 10:45:00,66778.00,66818.50,66540.40,66575.10,3228.565
2026-02-27 11:00:00,66575.20,66762.60,66575.10,66671.90,2283.450
2026-02-27 11:15:00,66672.40,66672.40,66334.20,66492.40,5125.122
2026-02-27 11:30:00,66492.40,66534.90,65923.00,65965.60,7536.180
2026-02-27 11:45:00,65965.60,66173.60,65953.10,66094.10,4212.367
2026-02-27 12:00:00,66094.00,66198.00,65853.70,65960.90,3013.322
2026-02-27 12:15:00,65961.00,66106.80,65860.50,65882.40,2369.210
2026-02-27 12:30:00,65882.50,66010.40,65820.00,65868.90,1609.222
2026-02-27 12:45:00,65868.90,65913.70,65714.20,65902.40,3745.967
2026-02-27 13:00:00,65902.50,66136.70,65880.30,66013.80,3324.696
2026-02-27 13:15:00,66013.90,66121.00,65887.50,65987.50,2282.065
2026-02-27 13:30:00,65987.50,66032.00,65626.10,66001.00,5419.081
2026-02-27 13:45:00,66001.70,66320.00,65993.60,66240.00,4473.867
2026-02-27 14:00:00,66240.00,66300.00,66107.20,66286.60,2209.388
2026-02-27 14:15:00,66286.70,66286.70,65959.80,66086.00,2827.055
2026-02-27 14:30:00,66086.00,66289.90,65760.00,65849.50,5996.086
2026-02-27 14:45:00,65849.50,65964.40,65656.00,65855.50,5660.379
2026-02-27 15:00:00,65855.40,66209.50,65804.80,66000.90,4150.432
2026-02-27 15:15:00,66000.90,66220.20,65870.00,66088.20,2907.355
2026-02-27 15:30:00,66088.20,66102.60,65834.70,66045.20,1530.280
2026-02-27 15:45:00,66045.30,66289.80,66027.60,66072.60,2408.881
2026-02-27 16:00:00,66072.50,66095.20,65695.30,65869.10,4604.278
2026-02-27 16:15:00,65869.10,66042.50,65809.90,65968.10,1442.088
2026-02-27 16:30:00,65968.20,66027.40,65670.10,65700.20,1602.231
2026-02-27 16:45:00,65700.30,65783.00,65433.20,65449.30,5887.417
2026-02-27 17:00:00,65449.30,65646.10,65370.80,65435.80,2687.283
2026-02-27 17:15:00,65435.90,65520.60,65163.20,65182.50,3677.374
2026-02-27 17:30:00,65182.60,65515.60,65080.00,65380.80,3857.445
2026-02-27 17:45:00,65380.80,65724.30,65350.00,65673.00,2622.429
2026-02-27 18:00:00,65672.90,65772.40,65483.00,65517.90,2057.760
2026-02-27 18:15:00,65517.80,65594.50,65360.00,65550.70,1416.357
2026-02-27 18:30:00,65550.80,65655.00,65488.00,65541.00,921.255
2026-02-27 18:45:00,65541.00,65554.40,65180.00,65284.80,2001.937
2026-02-27 19:00:00,65284.80,65410.70,65135.30,65259.40,1477.970
2026-02-27 19:15:00,65259.50,65400.10,65176.70,65310.10,1548.476
2026-02-27 19:30:00,65310.10,65396.10,65214.60,65265.80,918.074
2026-02-27 19:45:00,65265.90,65433.70,65222.30,65365.40,1009.420
2026-02-27 20:00:00,65365.40,65578.00,65365.40,65537.70,1401.990
2026-02-27 20:15:00,65537.60,65638.00,65520.00,65550.80,890.650
2026-02-27 20:30:00,65550.80,65630.00,65412.40,65603.10,734.367
2026-02-27 20:45:00,65603.10,65637.90,65521.40,65564.20,1110.953
2026-02-27 21:00:00,65564.30,65685.30,65445.20,65548.40,1063.673
2026-02-27 21:15:00,65548.30,65721.60,65548.30,65662.60,801.780
